ID;Conflict_Year;Conflict_Month;Conflict_Week;Conflict_Day;Event_Date;Micro_Level_Name;N_of_Event;Micro_Level_ID;Meso_Level_ID;Macro_Level_ID;Mega_Level_ID;Calender_Year;Calender_Month;Calender_Week;Calender_Week_Day;Calender_Season;Mega_Level_Name;Macro_Level_Name;Macro_Level_Geographical_Location;Macro_Level_Latitude;Macro_Level_Longitude;Meso_Level_Name;Meso_Level_Important_Location;Meso_Level_Geographical_Location;Meso_Level_Longitude;Meso_Level_Latitude;Meso_Level_MINURSO_control
Z00S1MR1C1;1;1;1;1;13/11/2020;;;Z00;S1;MR1;C1;2020;11;46;Friday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;2;2;14/11/2020;;;Z00;S1;MR1;C1;2020;11;46;Saturday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;3;3;15/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Sunday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;4;4;16/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Monday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;5;5;17/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Tuesday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;6;6;18/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Wednesday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;7;7;19/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Thursday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;2;8;20/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Friday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;2;9;21/11/2020;;;Z00;S1;MR1;C1;2020;11;47;Saturday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
Z00S1MR1C1;1;1;2;10;22/11/2020;;;Z00;S1;MR1;C1;2020;11;48;Sunday;Autumn;Morocco;Oued Daraa;North;12.163962°W;26.588070°N;Aaga;Aaga;North;9.226982°W;28.592624°N;No
